Card,Quantity,Pilot,Archetype,Event,Date Posted,Main/Sideboard,Mana Value,Mana Cost,Colours,Most Recent Printing,Card Text,Type Line,Price EUR,Price USD,Rarity
Geistlight Snare,4,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{2}{U},['U'],2021-11-19,"This spell costs {1} less to cast if you control a Spirit. It also costs {1} less to cast if you control an enchantment.
Counter target spell unless its controller pays {3}.",Instant,0.19,0.34,uncommon
Brazen Borrower,1,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{1}{U}{U},['U'],2019-10-04,,Creature — Faerie Rogue // Instant — Adventure,13.92,11.72,mythic
Supreme Phantom,4,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{U},['U'],2021-11-19,"Flying
Other Spirits you control get +1/+1.",Creature — Spirit,0.3,0.4,rare
Mausoleum Wanderer,4,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{U},['U'],2016-07-22,"Flying
Whenever another Spirit enters the battlefield under your control, Mausoleum Wanderer gets +1/+1 until end of turn.
Sacrifice Mausoleum Wanderer: Counter target instant or sorcery spell unless its controller pays {X}, where X is Mausoleum Wanderer's power.",Creature — Spirit,4.66,3.36,rare
Adarkar Wastes,4,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-09-09,"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",Land,3.78,3.7,rare
Rattlechains,4,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{U},['U'],2021-11-19,"Flash
Flying
When Rattlechains enters the battlefield, target Spirit gains hexproof until end of turn.
You may cast Spirit spells as though they had flash.",Creature — Spirit,0.19,0.17,rare
Skyclave Apparition,2,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{1}{W}{W},['W'],2020-09-25,"When Skyclave Apparition enters the battlefield, exile up to one target nonland, nontoken permanent you don't control with mana value 4 or less.
When Skyclave Apparition leaves the battlefield, the exiled card's owner creates an X/X blue Illusion creature token, where X is the mana value of the exiled card.",Creature — Kor Spirit,2.67,2.15,rare
Wedding Announcement,4,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{2}{W},['W'],2021-11-19,,Enchantment // Enchantment,21.07,12.85,rare
Destroy Evil,2,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{W},['W'],2022-09-09,"Choose one —
• Destroy target creature with toughness 4 or greater.
• Destroy target enchantment.",Instant,0.29,0.31,common
Slip Out the Back,1,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{U},['U'],2022-04-29,Put a +1/+1 counter on target creature. It phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.),Instant,2.15,1.78,uncommon
"Katilda, Dawnhart Martyr",2,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{1}{W}{W},['W'],2021-11-19,,Legendary Creature — Spirit Warlock // Legendary Enchantment — Aura,2.15,2.2,rare
Portable Hole,4,Pilot 29,Azorius Spirits,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{W},['W'],2021-07-23,"When Portable Hole enters the battlefield, exile target nonland permanent an opponent controls with mana value 2 or less until Portable Hole leaves the battlefield.",Artifact,1.24,0.69,uncommon
Ornithopter,4,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,[],2017-01-20,Flying,Artifact Creature — Thopter,0.1,0.18,uncommon
Legion's Landing  a,2,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{W},['L'],2023-05-08,,Legendary Enchantment // Legendary Land,,3.2,rare
Battlefield Forge,4,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-11-18,"{T}: Add {C}.
{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you.",Land,1.08,1.61,rare
Thraben Inspector,4,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{W},['W'],2020-08-07,"When Thraben Inspector enters the battlefield, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",Creature — Human Soldier,0.1,0.25,common
Clarion Spirit,3,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{W},['W'],2021-02-05,"Whenever you cast your second spell each turn, create a 1/1 white Spirit creature token with flying.",Creature — Spirit,0.11,0.22,uncommon
Giant Killer,3,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{W},['W'],2019-10-04,,Creature — Human Peasant // Instant — Adventure,0.24,0.22,rare
Regal Leosaur,1,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{R}{W},"['R', 'W']",2020-04-24,"Mutate {1}{R/W}{R/W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +2/+1 until end of turn.",Creature — Dinosaur Cat,0.16,0.15,uncommon
Resolute Reinforcements,4,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{W},['W'],2022-09-09,"Flash
When Resolute Reinforcements enters the battlefield, create a 1/1 white Soldier creature token.",Creature — Human Soldier,0.2,0.2,uncommon
Voldaren Epicure,4,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{R},['R'],2021-11-19,"When Voldaren Epicure enters the battlefield, it deals 1 damage to each opponent. Create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")",Creature — Vampire,0.15,0.21,common
Sacred Foundry,4,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2018-10-05,"({T}: Add {R} or {W}.)
As Sacred Foundry enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Mountain Plains,13.26,17.17,rare
Den of the Bugbear,2,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Den of the Bugbear enters the battlefield tapped.
{T}: Add {R}.
{3}{R}: Until end of turn, Den of the Bugbear becomes a 3/2 red Goblin creature with ""Whenever this creature attacks, create a 1/1 red Goblin creature token that's tapped and attacking."" It's still a land.",Land,8.46,5.31,rare
Reckless Bushwhacker,3,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{2}{R},['R'],2016-01-22,"Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Haste
When Reckless Bushwhacker enters the battlefield, if its surge cost was paid, other creatures you control get +1/+0 and gain haste until end of turn.",Creature — Goblin Warrior Ally,1.81,2.57,uncommon
Needleverge Pathway,3,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-05-08,,Land // Land,,2.73,rare
Knight-Errant of Eos,4,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,5.0,{4}{W},['W'],2023-04-21,"Convoke
When Knight-Errant of Eos enters the battlefield, look at the top six cards of your library. You may reveal up to two creature cards with mana value X or less from among them, where X is the number of creatures that convoked Knight-Errant of Eos. Put the revealed cards into your hand, then shuffle.",Creature — Human Knight,3.6,1.86,rare
Venerated Loxodon,4,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,5.0,{4}{W},['W'],2023-04-21,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When Venerated Loxodon enters the battlefield, put a +1/+1 counter on each creature that convoked it.",Creature — Elephant Cleric,0.28,1.45,rare
Inspiring Vantage,4,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2016-09-30,"Inspiring Vantage enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {R} or {W}.",Land,8.41,7.51,rare
Shefet Dunes,2,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2017-07-14,"{T}: Add {C}.
{T}, Pay 1 life: Add {W}.
{2}{W}{W}, {T}, Sacrifice a Desert: Creatures you control get +1/+1 until end of turn. Activate only as a sorcery.",Land — Desert,0.29,0.71,uncommon
Gleeful Demolition,4,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{R},['R'],2023-02-03,"Destroy target artifact. If you controlled that artifact, create three 1/1 red Phyrexian Goblin creature tokens.",Sorcery,0.45,0.76,uncommon
Plains,1,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{W},['W'],2016-04-08,You gain 5 life.,Sorcery,0.1,0.09,common
"Reidane, God of the Worthy",1,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{2}{W},['W'],2021-02-05,,Legendary Creature — God // Legendary Artifact,0.23,0.31,rare
"Thalia, Guardian of Thraben",3,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{W},['W'],2021-11-19,"First strike
Noncreature spells cost {1} more to cast.",Legendary Creature — Human Soldier,0.56,0.33,rare
Unbreakable Formation,1,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{2}{W},['W'],2023-04-21,"Creatures you control gain indestructible until end of turn.
Addendum — If you cast this spell during your main phase, put a +1/+1 counter on each of those creatures and they gain vigilance until end of turn.",Instant,0.21,0.2,rare
Forge Devil,3,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{R},['R'],2020-07-17,"When Forge Devil enters the battlefield, it deals 1 damage to target creature and 1 damage to you.",Creature — Devil,0.1,0.11,common
Regal Leosaur,1,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{R}{W},"['R', 'W']",2020-04-24,"Mutate {1}{R/W}{R/W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +2/+1 until end of turn.",Creature — Dinosaur Cat,0.16,0.15,uncommon
Wedding Announcement,2,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{2}{W},['W'],2021-11-19,,Enchantment // Enchantment,21.07,12.85,rare
Rending Volley,3,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{R},['R'],2015-03-27,"This spell can't be countered.
Rending Volley deals 4 damage to target white or blue creature.",Instant,2.89,3.2,uncommon
"Jegantha, the Wellspring",1,Pilot 30,Boros Convoke,Dreamhack Magic Showdown,2023-06-07,Sideboard,5.0,{4}{R/G},"['G', 'R']",2020-04-24,"Companion — No card in your starting deck has more than one of the same mana symbol in its mana cost. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
{T}: Add {W}{U}{B}{R}{G}. This mana can't be spent to pay generic mana costs.",Legendary Creature — Elemental Elk,1.15,0.83,rare
Hall of Storm Giants,2,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Hall of Storm Giants enters the battlefield tapped.
{T}: Add {U}.
{5}{U}: Until end of turn, Hall of Storm Giants becomes a 7/7 blue Giant creature with ward {3}. It's still a land. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)",Land,3.97,1.87,rare
Field of Ruin,4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-04-21,"{T}: Add {C}.
{2}, {T}, Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles.",Land,0.05,0.15,uncommon
Deserted Beach,4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-09-24,"Deserted Beach enters the battlefield tapped unless you control two or more other lands.
{T}: Add {W} or {U}.",Land,8.95,6.22,rare
Supreme Verdict,3,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{1}{W}{W}{U},"['U', 'W']",2022-07-08,"This spell can't be countered.
Destroy all creatures.",Sorcery,4.97,3.69,rare
"Eiganjo, Seat of the Empire",1,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {W}.
Channel — {2}{W}, Discard Eiganjo, Seat of the Empire: It deals 4 damage to target attacking or blocking creature. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,7.95,5.32,rare
Castle Vantress,1,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-06-10,"Castle Vantress enters the battlefield tapped unless you control an Island.
{T}: Add {U}.
{2}{U}{U}, {T}: Scry 2.",Land,0.93,0.38,rare
The Wandering Emperor,4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{2}{W}{W},['W'],2022-02-18,"Flash
As long as The Wandering Emperor entered the battlefield this turn, you may activate her loyalty abilities any time you could cast an instant.
+1: Put a +1/+1 counter on up to one target creature. It gains first strike until end of turn.
−1: Create a 2/2 white Samurai creature token with vigilance.
−2: Exile target tapped creature. You gain 2 life.",Legendary Planeswalker,25.04,18.43,mythic
Dovin's Veto,4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{W}{U},"['U', 'W']",2019-05-03,"This spell can't be countered.
Counter target noncreature spell.",Instant,2.0,3.72,uncommon
Memory Deluge,2,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{2}{U}{U},['U'],2021-09-24,"Look at the top X cards of your library, where X is the amount of mana spent to cast this spell. Put two of them into your hand and the rest on the bottom of your library in a random order.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Instant,1.01,0.62,rare
March of Otherworldly Light,3,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{X}{W},['W'],2022-02-18,"As an additional cost to cast this spell, you may exile any number of white cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Exile target artifact, creature, or enchantment with mana value X or less.",Instant,2.96,1.96,rare
Shark Typhoon,3,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,6.0,{5}{U},['U'],2020-04-24,"Whenever you cast a noncreature spell, create an X/X blue Shark creature token with flying, where X is that spell's mana value.
Cycling {X}{1}{U} ({X}{1}{U}, Discard this card: Draw a card.)
When you cycle Shark Typhoon, create an X/X blue Shark creature token with flying.",Enchantment,12.91,11.64,rare
Absorb,2,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{W}{U}{U},"['U', 'W']",2019-01-25,Counter target spell. You gain 3 life.,Instant,0.82,0.35,rare
Temporary Lockdown,3,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{1}{W}{W},['W'],2022-09-09,"When Temporary Lockdown enters the battlefield, exile each nonland permanent with mana value 2 or less until Temporary Lockdown leaves the battlefield.",Enchantment,1.16,1.78,rare
"Otawara, Soaring City",1,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {U}.
Channel — {3}{U}, Discard Otawara, Soaring City: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,17.98,12.58,rare
Omen of the Sea,4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{U},['U'],2020-01-24,"Flash
When Omen of the Sea enters the battlefield, scry 2, then draw a card.
{2}{U}, Sacrifice Omen of the Sea: Scry 2.",Enchantment,0.05,0.08,common
Farewell,1,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,6.0,{4}{W}{W},['W'],2022-02-18,"Choose one or more —
• Exile all artifacts.
• Exile all creatures.
• Exile all enchantments.
• Exile all graveyards.",Sorcery,8.56,9.48,rare
Hengegate Pathway,4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-05-08,,Land // Land,,4.63,rare
Castle Ardenvale,1,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-04-29,"Castle Ardenvale enters the battlefield tapped unless you control a Plains.
{T}: Add {W}.
{2}{W}{W}, {T}: Create a 1/1 white Human creature token.",Land,0.98,0.59,rare
"Teferi, Hero of Dominaria",4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,5.0,{3}{W}{U},"['U', 'W']",2018-04-27,"+1: Draw a card. At the beginning of the next end step, untap up to two lands.
−3: Put target nonland permanent into its owner's library third from the top.
−8: You get an emblem with ""Whenever you draw a card, exile target permanent an opponent controls.""",Legendary Planeswalker — Teferi,26.99,25.92,mythic
"Narset, Parter of Veils",2,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{1}{U}{U},['U'],2019-05-03,"Each opponent can't draw more than one card each turn.
−2: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Legendary Planeswalker — Narset,0.77,1.87,uncommon
Glacial Fortress,4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2017-09-29,"Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island.
{T}: Add {W} or {U}.",Land,2.61,3.16,rare
Fateful Absence,1,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{W},['W'],2021-09-24,"Destroy target creature or planeswalker. Its controller investigates. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",Instant,0.89,0.84,rare
Irrigated Farmland,4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2020-04-17,"({T}: Add {W} or {U}.)
Irrigated Farmland enters the battlefield tapped.
Cycling {2} ({2}, Discard this card: Draw a card.)",Land — Plains Island,0.76,0.96,rare
Hallowed Fountain,4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2019-01-25,"({T}: Add {W} or {U}.)
As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Plains Island,11.93,11.31,rare
Make Disappear,2,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{U},['U'],2022-04-29,"Casualty 1 (As you cast this spell, you may sacrifice a creature with power 1 or greater. When you do, copy this spell and you may choose a new target for the copy.)
Counter target spell unless its controller pays {2}.",Instant,0.4,0.56,common
Island,3,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-10-13,({T}: Add {U}.),Basic Land — Island,,,common
Plains,3,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{W},['W'],2016-04-08,You gain 5 life.,Sorcery,0.1,0.09,common
Censor,4,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{2}{W},['W'],2022-06-10,"Flash
Flying
If an opponent would search a library, that player searches the top four cards of that library instead.",Creature — Bird Wizard,0.14,0.14,uncommon
Sinister Sabotage,2,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{1}{U}{U},['U'],2018-10-05,"Counter target spell.
Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)",Instant,0.02,0.07,uncommon
Mystical Dispute,2,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{2}{U},['U'],2019-10-04,"This spell costs {2} less to cast if it targets a blue spell.
Counter target spell unless its controller pays {3}.",Instant,0.28,0.25,uncommon
Farewell,2,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,6.0,{4}{W}{W},['W'],2022-02-18,"Choose one or more —
• Exile all artifacts.
• Exile all creatures.
• Exile all enchantments.
• Exile all graveyards.",Sorcery,8.56,9.48,rare
Fateful Absence,1,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{W},['W'],2021-09-24,"Destroy target creature or planeswalker. Its controller investigates. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",Instant,0.89,0.84,rare
Aether Gust,3,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{U},['U'],2019-07-12,Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.,Instant,0.33,0.37,uncommon
Shark Typhoon,1,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,6.0,{5}{U},['U'],2020-04-24,"Whenever you cast a noncreature spell, create an X/X blue Shark creature token with flying, where X is that spell's mana value.
Cycling {X}{1}{U} ({X}{1}{U}, Discard this card: Draw a card.)
When you cycle Shark Typhoon, create an X/X blue Shark creature token with flying.",Enchantment,12.91,11.64,rare
Hullbreaker Horror,1,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,7.0,{5}{U}{U},['U'],2021-11-19,"Flash
Whenever you cast a spell, choose up to one —
• Return target spell you don't control to its owner's hand.
• Return target nonland permanent to its owner's hand.",Creature — Kraken Horror,,,rare
Boon-Bringer Valkyrie,2,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,5.0,{3}{W}{W},['W'],2023-04-21,"Backup 1 (When this creature enters the battlefield, put a +1/+1 counter on target creature. If that's another creature, it gains the following abilities until end of turn.)
Flying, first strike, lifelink",Creature — Angel Warrior,0.31,0.3,rare
Starnheim Unleashed,2,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,4.0,{2}{W}{W},['W'],2021-02-05,"Create a 4/4 white Angel Warrior creature token with flying and vigilance. If this spell was foretold, create X of those tokens instead.
Foretell {X}{X}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",Sorcery,3.99,2.69,mythic
"Yorion, Sky Nomad",1,Pilot 31,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,5.0,{3}{W/U}{W/U},"['U', 'W']",2020-04-24,"Companion — Your starting deck contains at least twenty cards more than the minimum deck size. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Flying
When Yorion enters the battlefield, exile any number of other nonland permanents you own and control. Return those cards to the battlefield at the beginning of the next end step.",Legendary Creature — Bird Serpent,1.43,0.48,rare
Abrade,1,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{R},['R'],2021-11-19,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",Instant,0.12,0.12,common
Bonecrusher Giant,4,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{2}{R},['R'],2022-06-10,,Creature — Giant // Instant — Adventure,0.48,0.41,rare
Reckoner Bankbuster,3,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{2},[],2022-02-18,"Reckoner Bankbuster enters the battlefield with three charge counters on it.
{2}, {T}, Remove a charge counter from Reckoner Bankbuster: Draw a card. Then if there are no charge counters on Reckoner Bankbuster, create a Treasure token and a 1/1 colorless Pilot creature token with ""This creature crews Vehicles as though its power were 2 greater.""
Crew 3",Artifact — Vehicle,4.54,3.08,rare
Den of the Bugbear,1,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Den of the Bugbear enters the battlefield tapped.
{T}: Add {R}.
{3}{R}: Until end of turn, Den of the Bugbear becomes a 3/2 red Goblin creature with ""Whenever this creature attacks, create a 1/1 red Goblin creature token that's tapped and attacking."" It's still a land.",Land,8.46,5.31,rare
"Sokenzan, Crucible of Defiance",1,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {R}.
Channel — {3}{R}, Discard Sokenzan, Crucible of Defiance: Create two 1/1 colorless Spirit creature tokens. They gain haste until end of turn. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,3.38,3.11,rare
Castle Locthwain,2,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-06-10,"Castle Locthwain enters the battlefield tapped unless you control a Swamp.
{T}: Add {B}.
{1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand.",Land,3.76,1.97,rare
Duress,1,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{B},['B'],2023-02-03,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",Sorcery,0.13,0.03,common
"Sheoldred, the Apocalypse",3,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{2}{B}{B},['B'],2022-09-09,"Deathtouch
Whenever you draw a card, you gain 2 life.
Whenever an opponent draws a card, they lose 2 life.",Legendary Creature — Phyrexian Praetor,62.58,63.17,mythic
Swamp,5,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2016-09-02,"({T}: Add {B}.)
Leechridden Swamp enters the battlefield tapped.
{B}, {T}: Each opponent loses 1 life. Activate only if you control two or more black permanents.",Land — Swamp,0.39,0.95,uncommon
Power Word Kill,1,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{B},['B'],2021-07-23,"Destroy target non-Angel, non-Demon, non-Devil, non-Dragon creature.",Instant,0.1,0.16,uncommon
Graveyard Trespasser,2,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{2}{B},['B'],2021-09-24,,Creature — Human Werewolf // Creature — Werewolf,1.79,0.74,rare
"Kroxa, Titan of Death's Hunger",2,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{B}{R},"['B', 'R']",2020-01-24,"When Kroxa enters the battlefield, sacrifice it unless it escaped.
Whenever Kroxa enters the battlefield or attacks, each opponent discards a card, then each opponent who didn't discard a nonland card this way loses 3 life.
Escape—{B}{B}{R}{R}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",Legendary Creature — Elder Giant,5.65,3.81,mythic
Thoughtseize,4,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{B},['B'],2020-08-07,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,Sorcery,19.95,16.4,rare
Blackcleave Cliffs,2,Pilot 32,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-02-03,"Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {R}.",Land,4.28,2.44,rare
